sinal_i;dt;lado;preco_ordem;hora;leque;range_gatilho;ativou;entrada;saida_i;motivo;ticks;ticks_bruto;parcial;barras;R;usd;data
7;2026-05-05 19:37:43;short;4557,545;19;33,482827026818995;377,00000000004366;True;4557,545;17;stop;-300,0;-300,0;False;10;-1,0;-3,0;2026-05-05
38;2026-05-05 20:33:55;long;4557,615;20;19,234448005317972;306,9999999999709;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-05
96;2026-05-05 22:50:41;short;4557,58;22;129,9264318700807;286,0000000000582;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-05
106;2026-05-05 23:18:16;short;4556,950000000001;23;192,900772680332;196,00000000000364;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-05
110;2026-05-05 23:33:04;short;4558,825000000001;23;129,32269497296147;247,00000000002547;True;4558,825000000001;120;alvo;600,0;600,0;True;10;2,0;6,0;2026-05-05
178;2026-05-06 03:15:03;long;4590,775;3;1234,4851748621295;317,0000000000073;True;4590,76;180;breakeven;150,0;150,0;True;2;0,5;1,5;2026-05-06
259;2026-05-06 05:32:47;long;4629,365;5;1090,5967317396971;367,0000000000073;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
289;2026-05-06 06:36:18;long;4643,95;6;1096,2131456460156;294,00000000005093;True;4643,62;290;breakeven;150,0;150,0;True;1;0,5;1,5;2026-05-06
296;2026-05-06 06:52:02;long;4645,305;6;1026,2181882972072;271,00000000000364;True;4645,305;307;breakeven;150,0;150,0;True;11;0,5;1,5;2026-05-06
320;2026-05-06 07:44:33;long;4646,945;7;704,2876223827079;251,00000000002183;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
338;2026-05-06 08:23:08;long;4651,12;8;602,9900318286309;215,99999999998545;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
381;2026-05-06 09:38:37;long;4664,5650000000005;9;749,7401994811298;452,99999999997453;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
385;2026-05-06 09:44:41;long;4662,45;9;698,1428742977187;505,99999999994907;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
390;2026-05-06 09:54:14;long;4664,15;9;637,8728067737939;267,99999999993815;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
