sinal_i;dt;lado;preco_ordem;hora;leque;range_gatilho;ativou;entrada;saida_i;motivo;ticks;ticks_bruto;parcial;barras;R;usd;data
259;2026-05-06 05:32:47;long;4629,365;5;1090,5967317396971;367,0000000000073;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
289;2026-05-06 06:36:18;long;4643,95;6;1096,2131456460156;294,00000000005093;True;4643,62;290;breakeven;150,0;150,0;True;1;0,5;1,5;2026-05-06
296;2026-05-06 06:52:02;long;4645,305;6;1026,2181882972072;271,00000000000364;True;4645,305;307;breakeven;150,0;150,0;True;11;0,5;1,5;2026-05-06
480;2026-05-06 12:17:37;long;4696,094999999999;12;1002,4371982450248;286,9999999999891;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
492;2026-05-06 12:32:44;long;4698,695;12;859,1161725936217;460,99999999996726;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
507;2026-05-06 12:53:49;long;4698,805;12;668,0979268380725;225,0;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
515;2026-05-06 13:04:49;long;4700,735;13;642,1605697301857;390,99999999998545;True;4700,735;518;stop;-300,0;-300,0;False;3;-1,0;-3,0;2026-05-06
705;2026-05-06 16:47:56;long;4694,555;16;455,22257693764914;368,99999999996;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
815;2026-05-06 18:55:28;short;4692,975;18;438,9815410760093;171,00000000000364;True;4693,17;821;alvo;600,0;600,0;True;6;2,0;6,0;2026-05-06
1557;2026-05-07 18:04:17;long;4759,025;18;539,5155876321041;232,99999999999272;True;4759,025;1559;stop;-300,0;-300,0;False;2;-1,0;-3,0;2026-05-07
2017;2026-05-08 06:25:07;long;4718,045;6;166,35539095068452;219,00000000005093;True;4718,045;2022;alvo;600,0;600,0;True;5;2,0;6,0;2026-05-08
2229;2026-05-08 13:05:33;short;4713,335;13;202,65151259654886;195,00000000007276;True;4713,335;2232;stop;-300,0;-300,0;False;3;-1,0;-3,0;2026-05-08
2249;2026-05-08 13:52:54;long;4719,785;13;301,16125803251634;398,9999999999782;True;4719,785;2251;stop;-300,0;-300,0;False;2;-1,0;-3,0;2026-05-08
2455;2026-05-08 18:12:24;short;4716,975;18;482,1943998378629;575,0;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-08
2472;2026-05-08 18:30:44;short;4711,16;18;722,5059361985586;680,0000000000182;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-08
2814;2026-05-11 06:08:24;short;4683,465;6;352,1997485976499;372,99999999995634;True;4683,89;2816;stop;-300,0;-300,0;False;2;-1,0;-3,0;2026-05-11
2818;2026-05-11 06:16:10;short;4686,76;6;259,6232889687599;347,99999999995634;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-11
2821;2026-05-11 06:21:33;short;4686,78;6;219,76955333784645;389,9999999999636;True;4686,78;2822;breakeven;150,0;150,0;True;1;0,5;1,5;2026-05-11
3000;2026-05-11 12:09:39;short;4668,264999999999;12;148,81531289711347;321,00000000000364;True;4668,264999999999;3007;alvo;600,0;600,0;True;7;2,0;6,0;2026-05-11
3539;2026-05-12 05:02:22;short;4729,785;5;1012,481547713287;240,99999999998545;True;4729,785;3543;breakeven;150,0;150,0;True;4;0,5;1,5;2026-05-12
3553;2026-05-12 05:27:11;short;4728,195;5;725,8728546805287;347,00000000002547;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-12
3786;2026-05-12 12:27:11;short;4700,255;12;57,02435792491087;335,0000000000364;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-12
3800;2026-05-12 12:51:38;short;4700,645;12;86,44281821952973;225,0;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-12
3971;2026-05-12 16:55:29;short;4690,49;16;217,7935666221856;557,9999999999927;True;4690,49;3974;alvo;600,0;600,0;True;3;2,0;6,0;2026-05-12
