sinal_i;dt;lado;preco_ordem;hora;leque;range_gatilho;ativou;entrada;saida_i;motivo;ticks;ticks_bruto;parcial;barras;R;usd;data
7;2026-05-05 19:37:43;long;4557,545;19;33,482827026818995;377,00000000004366;True;4556,05;23;breakeven;150,0;150,0;True;16;0,5;1,5;2026-05-05
38;2026-05-05 20:33:55;short;4557,615;20;19,234448005317972;306,9999999999709;True;4558,53;39;stop;-300,0;-300,0;False;1;-1,0;-3,0;2026-05-05
96;2026-05-05 22:50:41;long;4557,58;22;129,9264318700807;286,0000000000582;True;4556,15;99;stop;-300,0;-300,0;False;3;-1,0;-3,0;2026-05-05
106;2026-05-05 23:18:16;long;4556,950000000001;23;192,900772680332;196,00000000000364;True;4556,58;112;breakeven;150,0;150,0;True;6;0,5;1,5;2026-05-05
178;2026-05-06 03:15:03;short;4590,775;3;1234,4851748621295;317,0000000000073;True;4590,775;180;stop;-300,0;-300,0;False;2;-1,0;-3,0;2026-05-06
259;2026-05-06 05:32:47;short;4629,365;5;1090,5967317396971;367,0000000000073;True;4631,04;262;stop;-300,0;-300,0;False;3;-1,0;-3,0;2026-05-06
289;2026-05-06 06:36:18;short;4643,95;6;1096,2131456460156;294,00000000005093;True;4643,95;290;stop;-300,0;-300,0;False;1;-1,0;-3,0;2026-05-06
296;2026-05-06 06:52:02;short;4645,305;6;1026,2181882972072;271,00000000000364;True;4645,88;305;stop;-300,0;-300,0;False;9;-1,0;-3,0;2026-05-06
320;2026-05-06 07:44:33;short;4646,945;7;704,2876223827079;251,00000000002183;True;4647,63;323;stop;-300,0;-300,0;False;3;-1,0;-3,0;2026-05-06
338;2026-05-06 08:23:08;short;4651,12;8;602,9900318286309;215,99999999998545;True;4652,33;354;breakeven;150,0;150,0;True;16;0,5;1,5;2026-05-06
381;2026-05-06 09:38:37;short;4664,5650000000005;9;749,7401994811298;452,99999999997453;True;4666,48;387;breakeven;150,0;150,0;True;6;0,5;1,5;2026-05-06
390;2026-05-06 09:54:14;short;4664,15;9;637,8728067737939;267,99999999993815;True;4665,0;393;stop;-300,0;-300,0;False;3;-1,0;-3,0;2026-05-06
480;2026-05-06 12:17:37;short;4696,094999999999;12;1002,4371982450248;286,9999999999891;True;4697,1;481;stop;-300,0;-300,0;False;1;-1,0;-3,0;2026-05-06
492;2026-05-06 12:32:44;short;4698,695;12;859,1161725936217;460,99999999996726;True;4700,25;493;stop;-300,0;-300,0;False;1;-1,0;-3,0;2026-05-06
502;2026-05-06 12:46:39;short;4696,5599999999995;12;775,5922476574597;417,99999999993815;True;4698,22;503;stop;-300,0;-300,0;False;1;-1,0;-3,0;2026-05-06
507;2026-05-06 12:53:49;short;4698,805;12;668,0979268380725;225,0;True;4699,85;511;stop;-300,0;-300,0;False;4;-1,0;-3,0;2026-05-06
515;2026-05-06 13:04:49;short;4700,735;13;642,1605697301857;390,99999999998545;True;4702,3;529;breakeven;150,0;150,0;True;14;0,5;1,5;2026-05-06
560;2026-05-06 14:05:02;short;4712,799999999999;14;810,0722714575568;238,0000000000109;True;4713,5;562;stop;-300,0;-300,0;False;2;-1,0;-3,0;2026-05-06
567;2026-05-06 14:14:17;short;4711,43;14;691,9121898235062;451,9999999999527;True;4712,05;576;breakeven;150,0;150,0;True;9;0,5;1,5;2026-05-06
634;2026-05-06 15:30:26;long;4684,85;15;946,5257766728428;406,00000000004;True;4684,51;635;stop;-300,0;-300,0;False;1;-1,0;-3,0;2026-05-06
649;2026-05-06 15:48:25;long;4683,045;15;579,1693663358274;327,00000000004366;True;4682,21;650;stop;-300,0;-300,0;False;1;-1,0;-3,0;2026-05-06
661;2026-05-06 16:03:04;long;4690,1849999999995;16;337,8397369790946;276,9999999999527;True;4689,71;663;stop;-300,0;-300,0;False;2;-1,0;-3,0;2026-05-06
671;2026-05-06 16:12:47;long;4679,674999999999;16;444,0954438866356;252,99999999997453;True;4679,674999999999;673;breakeven;150,0;150,0;True;2;0,5;1,5;2026-05-06
675;2026-05-06 16:17:12;long;4685,66;16;286,7157741228766;252,00000000004366;True;4685,66;678;stop;-300,0;-300,0;False;3;-1,0;-3,0;2026-05-06
705;2026-05-06 16:47:56;short;4694,555;16;455,22257693764914;368,99999999996;True;4696,38;707;stop;-300,0;-300,0;False;2;-1,0;-3,0;2026-05-06
725;2026-05-06 17:08:08;short;4703,485000000001;17;782,44563526614;521,0000000000036;True;4704,03;727;stop;-300,0;-300,0;False;2;-1,0;-3,0;2026-05-06
746;2026-05-06 17:30:48;short;4705,825000000001;17;741,3759559763093;247,00000000002547;True;4706,95;755;stop;-300,0;-300,0;False;9;-1,0;-3,0;2026-05-06
815;2026-05-06 18:55:28;long;4692,975;18;438,9815410760093;171,00000000000364;True;4692,975;818;stop;-300,0;-300,0;False;3;-1,0;-3,0;2026-05-06
839;2026-05-06 19:29:04;long;4687,925;19;584,6641526687563;132,99999999999272;True;4687,5;852;breakeven;150,0;150,0;True;13;0,5;1,5;2026-05-06
864;2026-05-06 20:04:12;long;4684,735000000001;20;371,7428204947282;205,0000000000182;True;4684,22;871;breakeven;150,0;150,0;True;7;0,5;1,5;2026-05-06
880;2026-05-06 20:31:20;long;4682,555;20;349,4896263911869;225,0;True;4682,555;883;stop;-300,0;-300,0;False;3;-1,0;-3,0;2026-05-06
896;2026-05-06 21:01:54;long;4684,5599999999995;21;275,2537885433412;214,00000000003274;True;4683,61;926;alvo;600,0;600,0;True;30;2,0;6,0;2026-05-06
984;2026-05-07 01:34:07;short;4696,35;1;165,7584488100838;407,9999999999927;True;4697,7;993;breakeven;150,0;150,0;True;9;0,5;1,5;2026-05-07
996;2026-05-07 02:17:40;short;4694,865;2;170,5174963322861;186,9999999999891;True;4695,41;1004;breakeven;150,0;150,0;True;8;0,5;1,5;2026-05-07
1013;2026-05-07 03:07:09;short;4693,795;3;106,45124166576352;296,9999999999345;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-07
1021;2026-05-07 03:19:21;short;4696,514999999999;3;140,00217132806938;310,99999999996726;True;4697,69;1024;stop;-300,0;-300,0;False;3;-1,0;-3,0;2026-05-07
1040;2026-05-07 03:52:43;long;4690,4349999999995;3;205,46888705766833;250,99999999993088;True;4689,0;1042;stop;-300,0;-300,0;False;2;-1,0;-3,0;2026-05-07
1156;2026-05-07 07:44:08;long;4698,445;7;387,64983307664806;143,0000000000291;True;4697,91;1158;stop;-300,0;-300,0;False;2;-1,0;-3,0;2026-05-07
1164;2026-05-07 08:07:45;long;4699,65;8;325,6498107587504;190,00000000005457;True;4699,03;1168;stop;-300,0;-300,0;False;4;-1,0;-3,0;2026-05-07
1233;2026-05-07 10:05:49;short;4733,915;10;1274,7612006568488;432,9999999999927;True;4735,24;1235;stop;-300,0;-300,0;False;2;-1,0;-3,0;2026-05-07
1323;2026-05-07 12:19:59;long;4736,24;12;234,9167270147518;185,99999999996726;True;4735,76;1339;breakeven;150,0;150,0;True;16;0,5;1,5;2026-05-07
1404;2026-05-07 14:52:00;short;4736,375;14;75,38927793566472;464,9999999999636;True;4737,21;1407;stop;-300,0;-300,0;False;3;-1,0;-3,0;2026-05-07
1454;2026-05-07 16:02:47;short;4741,655000000001;16;351,9592910384745;281,00000000004;True;4741,655000000001;1456;breakeven;150,0;150,0;True;2;0,5;1,5;2026-05-07
1491;2026-05-07 16:46:28;short;4745,334999999999;16;393,1704335956056;578,9999999999964;True;4747,57;1497;alvo;600,0;600,0;True;6;2,0;6,0;2026-05-07
1519;2026-05-07 17:16:43;short;4746,84;17;239,6151476544219;1130,0000000000182;True;4751,83;1522;breakeven;150,0;150,0;True;3;0,5;1,5;2026-05-07
1557;2026-05-07 18:04:17;short;4759,025;18;539,5155876321041;232,99999999999272;True;4760,18;1562;breakeven;150,0;150,0;True;5;0,5;1,5;2026-05-07
1661;2026-05-07 19:56:34;long;4716,845;19;692,6287302503624;298,9999999999782;True;4715,47;1663;stop;-300,0;-300,0;False;2;-1,0;-3,0;2026-05-07
1665;2026-05-07 20:01:30;long;4715,02;20;618,9109276782801;250,0;True;4715,02;1669;breakeven;150,0;150,0;True;4;0,5;1,5;2026-05-07
1703;2026-05-07 20:40:03;long;4702,5;20;852,5909324037457;237,99999999991996;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-07
1716;2026-05-07 20:53:37;long;4700,73;20;630,513149062881;198,0000000000473;True;4700,73;1719;alvo;600,0;600,0;True;3;2,0;6,0;2026-05-07
