sinal_i;dt;lado;preco_ordem;hora;leque;range_gatilho;ativou;entrada;saida_i;motivo;ticks;ticks_bruto;parcial;barras;R;usd;data
178;2026-05-06 03:15:03;long;4590,775;3;1234,4851748621295;317,0000000000073;True;4590,76;180;breakeven;150,0;150,0;True;2;0,5;1,5;2026-05-06
259;2026-05-06 05:32:47;long;4629,365;5;1090,5967317396971;367,0000000000073;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
289;2026-05-06 06:36:18;long;4643,95;6;1096,2131456460156;294,00000000005093;True;4643,62;290;breakeven;150,0;150,0;True;1;0,5;1,5;2026-05-06
296;2026-05-06 06:52:02;long;4645,305;6;1026,2181882972072;271,00000000000364;True;4645,305;307;breakeven;150,0;150,0;True;11;0,5;1,5;2026-05-06
320;2026-05-06 07:44:33;long;4646,945;7;704,2876223827079;251,00000000002183;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
338;2026-05-06 08:23:08;long;4651,12;8;602,9900318286309;215,99999999998545;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
381;2026-05-06 09:38:37;long;4664,5650000000005;9;749,7401994811298;452,99999999997453;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
385;2026-05-06 09:44:41;long;4662,45;9;698,1428742977187;505,99999999994907;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
390;2026-05-06 09:54:14;long;4664,15;9;637,8728067737939;267,99999999993815;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
480;2026-05-06 12:17:37;long;4696,094999999999;12;1002,4371982450248;286,9999999999891;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
492;2026-05-06 12:32:44;long;4698,695;12;859,1161725936217;460,99999999996726;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
502;2026-05-06 12:46:39;long;4696,5599999999995;12;775,5922476574597;417,99999999993815;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
507;2026-05-06 12:53:49;long;4698,805;12;668,0979268380725;225,0;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
515;2026-05-06 13:04:49;long;4700,735;13;642,1605697301857;390,99999999998545;True;4700,735;518;stop;-300,0;-300,0;False;3;-1,0;-3,0;2026-05-06
519;2026-05-06 13:11:30;long;4697,62;13;527,1991082370732;321,9999999999345;True;4697,62;526;breakeven;150,0;150,0;True;7;0,5;1,5;2026-05-06
560;2026-05-06 14:05:02;long;4712,799999999999;14;810,0722714575568;238,0000000000109;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
567;2026-05-06 14:14:17;long;4711,43;14;691,9121898235062;451,9999999999527;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
575;2026-05-06 14:25:10;long;4709,8150000000005;14;425,0293114538181;184,99999999994543;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
634;2026-05-06 15:30:26;short;4684,85;15;946,5257766728428;406,00000000004;True;4684,85;635;breakeven;150,0;150,0;True;1;0,5;1,5;2026-05-06
649;2026-05-06 15:48:25;short;4683,045;15;579,1693663358274;327,00000000004366;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
671;2026-05-06 16:12:47;short;4679,674999999999;16;444,0954438866356;252,99999999997453;True;4679,79;673;stop;-300,0;-300,0;False;2;-1,0;-3,0;2026-05-06
705;2026-05-06 16:47:56;long;4694,555;16;455,22257693764914;368,99999999996;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
725;2026-05-06 17:08:08;long;4703,485000000001;17;782,44563526614;521,0000000000036;True;4703,485000000001;731;alvo;600,0;600,0;True;6;2,0;6,0;2026-05-06
746;2026-05-06 17:30:48;long;4705,825000000001;17;741,3759559763093;247,00000000002547;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-06
815;2026-05-06 18:55:28;short;4692,975;18;438,9815410760093;171,00000000000364;True;4693,17;821;alvo;600,0;600,0;True;6;2,0;6,0;2026-05-06
839;2026-05-06 19:29:04;short;4687,925;19;584,6641526687563;132,99999999999272;True;4687,925;848;stop;-300,0;-300,0;False;9;-1,0;-3,0;2026-05-06
1233;2026-05-07 10:05:49;long;4733,915;10;1274,7612006568488;432,9999999999927;True;4733,915;1235;alvo;600,0;600,0;True;2;2,0;6,0;2026-05-07
1557;2026-05-07 18:04:17;long;4759,025;18;539,5155876321041;232,99999999999272;True;4759,025;1559;stop;-300,0;-300,0;False;2;-1,0;-3,0;2026-05-07
1560;2026-05-07 18:07:58;long;4757,37;18;481,493723533913;244,00000000005093;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-07
1661;2026-05-07 19:56:34;short;4716,845;19;692,6287302503624;298,9999999999782;False;;-1;abortada;0,0;0,0;False;0;0,0;0,0;2026-05-07
1665;2026-05-07 20:01:30;short;4715,02;20;618,9109276782801;250,0;True;4715,38;1666;breakeven;150,0;150,0;True;1;0,5;1,5;2026-05-07
1669;2026-05-07 20:06:37;short;4716,325;20;525,6209392221535;269,00000000005093;True;4716,325;1671;stop;-300,0;-300,0;False;2;-1,0;-3,0;2026-05-07
1703;2026-05-07 20:40:03;short;4702,5;20;852,5909324037457;237,99999999991996;True;4703,02;1711;breakeven;150,0;150,0;True;8;0,5;1,5;2026-05-07
