sinal_i;dt;lado;tipo;hora;entrada;leque;dist_ma1;inclin;esf_rel;res_rel;saida_i;motivo;ticks;ticks_bruto;parcial;barras;R;usd;data
79;2026-05-11 03:53:22;short;1;3;4675,39;470,8647118806766;-779,433427031563;-348,3916591148045;0,36594240565547353;0,23793141715683025;80;alvo;388,0;388,0;False;1;2,0;3,88;2026-05-11
319;2026-05-11 15:25:42;long;1;15;4689,44;769,1758452536305;921,3922055650073;1132,6493930773722;0,18812154696132596;0,21093482479150158;320;stop;-194,0;-194,0;False;1;-1,0;-1,94;2026-05-11
353;2026-05-11 16:22:35;long;1;16;4730,25;2114,4324818461428;1376,1485873892525;1517,5484306933868;0,5739081351866224;0,3688979289940189;354;stop;-194,0;-194,0;False;1;-1,0;-1,94;2026-05-11
388;2026-05-11 17:08:09;long;1;17;4722,47;1194,0175137608094;-943,6747034638756;-549,1413184458906;0,6641914191419142;0,568491594729796;390;alvo;388,0;388,0;False;2;2,0;3,88;2026-05-11
849;2026-05-12 17:03:40;short;1;17;4688,91;504,3015558445404;250,59777247133752;-465,97212757415036;0,6074388621712883;0,11595558153116255;851;stop;-194,0;-194,0;False;2;-1,0;-1,94;2026-05-12
991;2026-05-13 02:04:06;long;1;2;4719,63;1872,362531312956;679,8958586441586;760,4807212128435;0,6044408190684117;0,39632432432454295;992;stop;-194,0;-194,0;False;1;-1,0;-1,94;2026-05-13
1028;2026-05-13 04:00:31;long;1;4;4714,08;809,962389006796;-460,97683572761525;-208,07865440419846;0,1346841225862397;0,46764091858032264;1030;stop;-194,0;-194,0;False;2;-1,0;-1,94;2026-05-13
1624;2026-05-14 16:44:20;short;1;16;4672,4;1049,4035286849794;-796,148994305986;-1100,749933334646;0,662066850659307;0,48675459361982676;1625;stop;-194,0;-194,0;False;1;-1,0;-1,94;2026-05-14
1726;2026-05-15 01:01:11;short;1;1;4647,68;1342,7650076511782;-999,7683762766428;-1068,846207905608;0,04149303488510537;0,20285531642853397;1727;stop;-194,0;-194,0;False;1;-1,0;-1,94;2026-05-15
1749;2026-05-15 02:47:44;short;1;2;4653,76;845,3173020644499;-177,91787035021116;-284,072319085044;0,682236327275889;0,3760410724471419;1751;alvo;388,0;388,0;False;2;2,0;3,88;2026-05-15
1759;2026-05-15 03:04:48;short;1;3;4649,9;906,4616277897585;-125,08367868622372;-438,83419166404565;0,4245237714102769;0,5460020073605137;1760;stop;-194,0;-194,0;False;1;-1,0;-1,94;2026-05-15
2568;2026-05-18 03:34:41;short;1;3;4490,4;1773,8677556651965;-1537,655859674669;-1753,604356905089;0,29240289271602177;0,3367377894632521;2570;stop;-194,0;-194,0;False;2;-1,0;-1,94;2026-05-18
2734;2026-05-18 05:35:59;long;2;5;4534,41;1040,638227794534;111,95437113110529;266,2761418330774;0,6392381882554022;1,4233625928428055;2736;alvo;388,0;388,0;False;2;2,0;3,88;2026-05-18
3257;2026-05-19 03:00:12;long;2;3;4582,94;1342,518458880204;627,9496869961804;1048,4306277709038;0,5718308096608685;1,3377389404694802;3258;alvo;388,0;388,0;False;1;2,0;3,88;2026-05-19
3350;2026-05-19 06:03:26;short;1;6;4546,81;643,1994566233698;-614,1216942457504;-458,8901922296827;0,46577498033044845;0,17969115582575595;3351;stop;-194,0;-194,0;False;1;-1,0;-1,94;2026-05-19
4641;2026-05-21 16:44:35;short;2;16;4498,9;747,7991992796888;139,67744346782638;-211,21607906407007;0,3758590528551793;1,4032447683989486;4644;alvo;388,0;388,0;False;3;2,0;3,88;2026-05-21
5134;2026-05-25 01:10:03;long;1;1;4554,99;1355,60345045933;1841,650253023363;2246,5974267791353;0,7035327773729522;0,6348178137649532;5136;stop;-194,0;-194,0;False;2;-1,0;-1,94;2026-05-25
6140;2026-05-28 01:05:38;long;1;1;4459,22;756,5785944603704;407,22923004086624;445,00913993460927;0,1573294733644275;0,35365058670150956;6142;stop;-194,0;-194,0;False;2;-1,0;-1,94;2026-05-28
6509;2026-05-28 17:13:39;long;1;17;4455,67;1539,5960688798368;696,1093980944497;1397,8633206494123;0,32534032010024494;0,468612038333052;6510;alvo;388,0;388,0;False;1;2,0;3,88;2026-05-28
7054;2026-06-01 01:51:04;short;1;1;4536,61;1207,149841078899;222,82444300981297;22,10270514979129;0,5204962930880742;0,6014557527776638;7055;stop;-194,0;-194,0;False;1;-1,0;-1,94;2026-06-01
7274;2026-06-01 16:12:10;short;1;16;4484,19;616,9419912328522;-944,5400418846475;-795,7989368841481;0,14970279591986496;0,5650557620819671;7275;stop;-194,0;-194,0;False;1;-1,0;-1,94;2026-06-01
7772;2026-06-03 01:55:09;short;1;1;4486,41;560,2987479857802;-142,91412618658796;24,715705821017764;0,7957970513915904;0,5050182481753592;7773;stop;-194,0;-194,0;False;1;-1,0;-1,94;2026-06-03
7788;2026-06-03 02:30:32;short;1;2;4465,21;1107,2033739050312;-1023,5425760219186;-996,528302252409;0,22071181413741967;0,20355123499651176;7790;stop;-194,0;-194,0;False;2;-1,0;-1,94;2026-06-03
8093;2026-06-03 17:00:37;short;1;17;4447,72;532,0436415220684;398,01347210423046;323,03485644606553;0,2840007055918152;0,042780748663063806;8095;alvo;388,0;388,0;False;2;2,0;3,88;2026-06-03
8189;2026-06-04 01:20:22;short;1;1;4425,94;607,549712670243;-846,2044697119381;-621,6937149252772;0,3102379106791485;0,638276213098087;8190;stop;-194,0;-194,0;False;1;-1,0;-1,94;2026-06-04
9027;2026-06-05 18:23:43;short;1;18;4353,69;521,9073850702443;-274,48193485006414;-627,9307854893887;0,06176022500878941;0,5228724763610798;9030;alvo;388,0;388,0;False;3;2,0;3,88;2026-06-05
9193;2026-06-08 01:12:38;short;2;1;4316,86;406,0321521583319;-21,824206791006873;-175,9583967571416;0,049580167932826866;1,407509043283165;9194;stop;-194,0;-194,0;False;1;-1,0;-1,94;2026-06-08
10532;2026-06-10 04:19:46;short;2;4;4212,67;401,67468054714845;744,9472262613199;553,0848696503199;0,4446497712073214;1,4196155258968182;10534;alvo;388,0;388,0;False;2;2,0;3,88;2026-06-10
10591;2026-06-10 05:30:32;short;1;5;4188,78;756,2021362097767;318,42643693898935;-145,52517191705192;0,6001014970819589;0,017681097299678435;10593;alvo;388,0;388,0;False;2;2,0;3,88;2026-06-10
10819;2026-06-10 13:29:59;short;1;13;4165,33;490,5054811397349;35,38983599182757;-137,30895570997745;0,7477366715100033;0,4171240395171213;10820;stop;-194,0;-194,0;False;1;-1,0;-1,94;2026-06-10
10848;2026-06-10 14:06:13;short;1;14;4160,13;424,1327329541491;-328,22967134970895;-600,3659697929834;0,7567997877139445;0,3682739343114891;10850;stop;-194,0;-194,0;False;2;-1,0;-1,94;2026-06-10
10914;2026-06-10 15:30:03;short;1;15;4146,14;886,9342631458494;459,4511540810345;-121,01687952244902;0,03321326088283778;0,4967000733315316;10915;stop;-194,0;-194,0;False;1;-1,0;-1,94;2026-06-10
