sinal_i;dt;lado;tipo;preco_ordem;hora;efic;res_rel;qual_rel;esf_rel;corpo_frac;range_sinal;contra;ativou;entrada;saida_i;motivo;ticks;ticks_bruto;parcial;barras;R;usd;data
79;2026-05-11 03:53:22;short;1;4675,39;3;0,6501881538725995;0,23793141715683025;-0,3533149678604224;0,36594240565547353;0,17268041237114792;388,0000000000109;1;True;4675,39;80;alvo;388,0;388,0;False;1;1,0;3,88;2026-05-11
106;2026-05-11 04:05:46;short;1;4695,99;4;1,6912516056171132;0,4599099647159739;-1,4835289945687677;0,2719346803210628;0,32474226804128425;388,0000000000109;4;True;4695,99;112;alvo;388,0;388,0;False;6;1,0;3,88;2026-05-11
136;2026-05-11 04:42:53;long;1;4694,61;4;0,04562419895283344;0,13740112994354511;-1,886795143609587;3,011584490186692;0,09793814432992227;388,0000000000109;1;True;4694,61;140;stop;-388,0;-388,0;False;4;-1,0;-3,88;2026-05-11
141;2026-05-11 04:52:08;long;1;4689,2;4;0,30131972490907555;0,3307997356245449;-4,189169144128572;1,0978363123236126;0,2345360824741827;388,0000000000109;2;True;4689,2;143;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-05-11
553;2026-05-12 04:11:38;short;1;4749,09;4;0,1009936824767514;0,28252449305087096;-22,409319881957316;2,797447188005128;0,20618556701035037;388,0000000000109;1;True;4749,09;555;alvo;388,0;388,0;False;2;1,0;3,88;2026-05-12
572;2026-05-12 04:42:50;long;1;4724,19;4;0,20506100741671002;0,3757585187487646;-0,3463671733687563;1,8324230602514087;0,27061855670089924;387,99999999991996;5;True;4724,19;574;alvo;388,0;388,0;False;2;1,0;3,88;2026-05-12
1028;2026-05-13 04:00:31;long;1;4714,08;4;3,4721310099554388;0,46764091858032264;-1,0805137359358694;0,1346841225862397;0,2886597938143967;388,0000000000109;3;True;4714,08;1030;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-05-13
1033;2026-05-13 04:03:06;short;2;4711,45;4;7,6610500239543775;1,7089472884702805;0,0;0,223069590085796;0,9664948453607975;388,0000000000109;2;True;4711,45;1035;alvo;388,0;388,0;False;2;1,0;3,88;2026-05-13
1349;2026-05-14 03:31:16;long;1;4703,32;3;0,33037531207206433;0,6478712800796217;0,49713676569052395;1,9610160214946761;0,4690721649483654;388,0000000000109;1;True;4703,32;1351;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-05-14
1379;2026-05-14 04:20:36;long;1;4691,46;4;0,44769986325977174;0,26024214259516293;0,39365429342901426;0,5812870718795842;0,19587628865984455;388,0000000000109;1;True;4691,46;1382;alvo;388,0;388,0;False;3;1,0;3,88;2026-05-14
1759;2026-05-15 03:04:48;short;1;4649,9;3;1,2861517873232011;0,5460020073605137;-0,0614185150228095;0,4245237714102769;0,3711340206186775;388,0000000000109;3;True;4649,9;1764;alvo;388,0;388,0;False;5;1,0;3,88;2026-05-15
1790;2026-05-15 03:43:04;long;2;4618,07;3;1,9657106715927941;1,5304716481185276;0,0;0,7785843920145191;0,9304123711339101;388,0000000000109;5;True;4618,07;1792;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-05-15
1808;2026-05-15 04:00:45;long;2;4626,35;4;3,8634163575344553;1,37012012012028;0,0;0,3546395193591455;0,9407216494846503;388,0000000000109;2;True;4626,35;1810;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-05-15
1869;2026-05-15 04:59:54;short;1;4612,63;4;0,4228107980108489;0,5342173810087062;0,47339563862928347;1,263490392208476;0,36340206185562235;388,0000000000109;1;True;4612,63;1876;stop;-388,0;-388,0;False;7;-1,0;-3,88;2026-05-15
2375;2026-05-15 18:20:50;long;1;4550,24;18;0,06266597285804489;0,10854070276343851;-5,985902830222606;1,7320516671673176;0,07216494845354059;388,0000000000109;3;True;4550,24;2377;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-05-15
2529;2026-05-18 03:02:35;long;2;4534,28;3;2,640375076899012;1,3995693632726256;0,0;0,5300646016233229;0,9381443298967308;388,0000000000109;2;True;4534,28;2531;alvo;388,0;388,0;False;2;1,0;3,88;2026-05-18
2568;2026-05-18 03:34:41;short;1;4490,4;3;1,1516226338782765;0,3367377894632521;-1,0732632387536607;0,29240289271602177;0,23195876288673206;388,0000000000109;1;True;4490,4;2570;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-05-18
2578;2026-05-18 03:38:44;short;1;4493,42;3;0,03256006395878441;0,05542115680681614;-2,810548508380477;1,7021206370162554;0,0360824742268875;388,0000000000109;1;True;4493,42;2580;alvo;388,0;388,0;False;2;1,0;3,88;2026-05-18
2620;2026-05-18 04:03:29;long;1;4493,3;4;0,2230874013894569;0,21317606444211717;-0,6244650734083876;0,9555719557195571;0,14690721649500063;388,0000000000109;3;True;4493,3;2623;alvo;388,0;388,0;False;3;1,0;3,88;2026-05-18
2632;2026-05-18 04:07:57;long;2;4496,31;4;1,1803264211354345;1,2216671424493342;-5,747835629801243;1,0350248207391064;0,8170103092783463;388,0000000000109;3;True;4496,31;2634;alvo;388,0;388,0;False;2;1,0;3,88;2026-05-18
2637;2026-05-18 04:09:42;long;1;4499,67;4;0,8507024056485344;0,6996609285343112;-10,541788539918485;0,8224508640021106;0,47680412371142056;388,0000000000109;1;True;4499,67;2640;stop;-388,0;-388,0;False;3;-1,0;-3,88;2026-05-18
3152;2026-05-18 18:31:21;long;1;4537,8;18;0,40337415221886247;0,47698805709306835;-4,430901975576407;1,1824953445065178;0,3376288659794751;388,0000000000109;1;True;4537,8;3154;alvo;388,0;388,0;False;2;1,0;3,88;2026-05-18
3162;2026-05-18 18:58:22;short;1;4543,11;18;0,05888905653230366;0,15002344116288846;0,18899706580810155;2,547560616471974;0,10309278350529238;388,0000000000109;1;True;4543,11;3166;stop;-388,0;-388,0;False;4;-1,0;-3,88;2026-05-18
3257;2026-05-19 03:00:12;long;2;4582,94;3;2,3393964051409597;1,3377389404694802;-1,4548930359581247;0,5718308096608685;0,8530927835051993;387,99999999991996;3;True;4582,94;3258;alvo;388,0;388,0;False;1;1,0;3,88;2026-05-19
3300;2026-05-19 04:09:16;short;2;4565,25;4;1,4273639832523488;1,200331125827822;-0,5371513058469864;0,8409425625920471;0,8376288659793579;388,0000000000109;2;True;4565,25;3302;alvo;388,0;388,0;False;2;1,0;3,88;2026-05-19
3305;2026-05-19 04:16:40;short;1;4564,59;4;0,2899912263833538;0,6247670083875393;-1,0439916815399584;2,1544341743692232;0,4458762886596688;388,0000000000109;1;True;4564,59;3306;alvo;388,0;388,0;False;1;1,0;3,88;2026-05-19
3731;2026-05-19 18:08:55;long;1;4493,69;18;0,44252414632290826;0,590280629705673;-0,49006602994929843;1,3338947368421052;0,39690721649491784;387,99999999991996;3;True;4493,69;3733;alvo;388,0;388,0;False;2;1,0;3,88;2026-05-19
3739;2026-05-19 18:25:39;long;2;4497,72;18;0,9745522646800021;1,1570555407921346;-4,4417425986932715;1,1872688440902224;0,8015463917527048;388,0000000000109;3;True;4497,72;3741;alvo;388,0;388,0;False;2;1,0;3,88;2026-05-19
3907;2026-05-20 04:40:13;short;1;4464,56;4;0,262240747124628;0,3878529568460196;0,47465026125063203;1,4789957742977877;0,26804123711344796;387,99999999991996;3;True;4464,56;3912;stop;-388,0;-388,0;False;5;-1,0;-3,88;2026-05-20
3924;2026-05-20 04:52:25;long;1;4478,97;4;0,5472998736922174;0,5428652002255859;-0,43084145901047316;0,9918971779826767;0,3969072164948248;388,0000000000109;3;True;4478,97;3928;alvo;388,0;388,0;False;4;1,0;3,88;2026-05-20
4258;2026-05-20 18:14:03;long;1;4526,93;18;0,018504926626359868;0,12654189706521027;0,25115856794552427;6,838281481481482;0,09020618556710154;388,0000000000109;3;True;4526,93;4261;alvo;388,0;388,0;False;3;1,0;3,88;2026-05-20
4362;2026-05-21 03:16:02;short;1;4549,48;3;2,3186693611082343;0,4849992227579573;-0,0;0,2091713596138375;0,30927835051564273;388,0000000000109;3;True;4549,48;4364;alvo;388,0;388,0;False;2;1,0;3,88;2026-05-21
4375;2026-05-21 03:58:28;short;1;4544,95;3;0,05866268812739588;0,06711135311737312;-4,224863793957405;1,144021101992966;0,04381443298970824;388,0000000000109;1;True;4544,95;4377;alvo;388,0;388,0;False;2;1,0;3,88;2026-05-21
4381;2026-05-21 04:03:43;short;2;4545,38;4;3,0853698273048944;1,4646464646462667;-52,150275373721485;0,47470693843066847;0,927835051546225;388,0000000000109;3;True;4545,38;4383;alvo;388,0;388,0;False;2;1,0;3,88;2026-05-21
4402;2026-05-21 04:36:51;long;2;4565,45;4;0,5731950716162909;1,1350319901223171;-1,3414154158040028;1,9801844892381277;0,8144329896906612;388,0000000000109;2;True;4565,45;4405;alvo;388,0;388,0;False;3;1,0;3,88;2026-05-21
4829;2026-05-22 03:22:26;short;1;4533,43;3;0,7526715139496991;0,2658431793770103;-19,315191485864567;0,35319946942322644;0,19329896907215952;388,0000000000109;1;True;4533,43;4831;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-05-22
4847;2026-05-22 04:07:54;short;2;4527,21;4;7,947948774402414;1,4795244385734154;0,0;0,18615173305324392;0,9922680412371793;388,0000000000109;2;True;4527,21;4851;stop;-388,0;-388,0;False;4;-1,0;-3,88;2026-05-22
5199;2026-05-25 04:26:05;short;1;4569,07;4;0,08258704774661936;0,08792463602636562;-1,907788033718789;1,064629847238543;0,05670103092789909;388,0000000000109;2;True;4569,07;5201;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-05-25
5362;2026-05-26 03:42:10;long;1;4547,34;3;2,1558164208015405;0,5966323945760337;0,46236111965549065;0,2767547314414664;0,3969072164948248;388,0000000000109;2;True;4547,34;5364;alvo;388,0;388,0;False;2;1,0;3,88;2026-05-26
5381;2026-05-26 04:25:26;long;1;4545,64;4;0,06991886309991119;0,10609756097559438;-0,5158434629041653;1,5174383030797471;0,07474226804122563;388,0000000000109;1;True;4545,64;5383;stop;-388,0;-388,0;False;2;-1,0;-3,88;2026-05-26
5388;2026-05-26 04:40:35;long;1;4531,82;4;0,13714132953129796;0,08233826412405414;0,2539352539352539;0,6003898635477584;0,05412371134021404;388,0000000000109;6;True;4531,82;5394;alvo;388,0;388,0;False;6;1,0;3,88;2026-05-26
5593;2026-05-26 18:06:37;short;1;4510,39;18;0,7659723978572281;0,5662011895523645;-0,23189247316060857;0,7391926799663876;0,38917525773176964;388,0000000000109;1;True;4510,39;5596;alvo;388,0;388,0;False;3;1,0;3,88;2026-05-26
